postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,148,22826,389.7,12,5,27/08/2022,2022-08-28
3001,0,0,0,0,0,0,27/08/2022,2022-08-28
3002,4957,8,2098,161.4,1,4,27/08/2022,2022-08-28
3003,5516,21,4128,380.7,3,5,27/08/2022,2022-08-28
3004,9311,29,5056,311.5,3,5,27/08/2022,2022-08-28
3005,523,0,0,0,0,0,27/08/2022,2022-08-28
3006,18811,44,10407,233.9,2,5,27/08/2022,2022-08-28
3008,10438,44,5987,421.5,5,5,27/08/2022,2022-08-28
3010,1595,0,4,0,0,0,27/08/2022,2022-08-28
3011,21464,67,10528,312.2,11,5,27/08/2022,2022-08-28
3012,26295,64,12318,243.4,9,5,27/08/2022,2022-08-28
3013,14967,30,7189,200.4,2,5,27/08/2022,2022-08-28
3015,17472,42,8275,240.4,9,5,27/08/2022,2022-08-28
3016,15558,45,6502,289.2,7,5,27/08/2022,2022-08-28
3018,12685,45,4918,354.7,5,5,27/08/2022,2022-08-28
3019,9199,14,3911,152.2,0,4,27/08/2022,2022-08-28
3020,44784,98,17077,218.8,15,5,27/08/2022,2022-08-28
3021,54190,120,18577,221.4,19,5,27/08/2022,2022-08-28
3022,3102,6,1297,193.4,4,4,27/08/2022,2022-08-28
3023,63974,208,27754,325.1,30,5,27/08/2022,2022-08-28
3024,23852,114,14436,477.9,16,5,27/08/2022,2022-08-28
3025,12155,22,5497,181,3,4,27/08/2022,2022-08-28
3026,72,17,3800,23611.1,3,7,27/08/2022,2022-08-28
3027,6650,45,3865,676.7,6,6,27/08/2022,2022-08-28
3028,29198,74,11081,253.4,12,5,27/08/2022,2022-08-28
3029,93946,327,51372,348.1,39,5,27/08/2022,2022-08-28
3030,100311,333,47896,332,32,5,27/08/2022,2022-08-28
3031,18533,38,8137,205,2,5,27/08/2022,2022-08-28
3032,29449,51,13154,173.2,6,4,27/08/2022,2022-08-28
3033,14512,37,6049,255,7,5,27/08/2022,2022-08-28
3034,11633,18,5015,154.7,3,4,27/08/2022,2022-08-28
3036,5921,7,2221,118.2,0,4,27/08/2022,2022-08-28
3037,51156,138,21839,269.8,26,5,27/08/2022,2022-08-28
3038,27258,62,10467,227.5,11,5,27/08/2022,2022-08-28
3039,14252,32,7027,224.5,2,5,27/08/2022,2022-08-28
3040,25939,49,11442,188.9,10,4,27/08/2022,2022-08-28
3041,12412,29,5586,233.6,5,5,27/08/2022,2022-08-28
3042,15762,39,6980,247.4,4,5,27/08/2022,2022-08-28
3043,17715,47,7380,265.3,7,5,27/08/2022,2022-08-28
3044,27116,60,12855,221.3,4,5,27/08/2022,2022-08-28
3045,100,0,125,0,0,0,27/08/2022,2022-08-28
3046,34061,74,15660,217.3,9,5,27/08/2022,2022-08-28
3047,20901,45,8047,215.3,7,5,27/08/2022,2022-08-28
3048,18025,29,6522,160.9,5,4,27/08/2022,2022-08-28
3049,9266,20,4341,215.8,1,5,27/08/2022,2022-08-28
3050,119,0,2,0,0,0,27/08/2022,2022-08-28
3051,14939,35,6866,234.3,2,5,27/08/2022,2022-08-28
3052,5697,9,3397,158,2,4,27/08/2022,2022-08-28
3053,18538,59,8029,318.3,6,5,27/08/2022,2022-08-28
3054,8426,13,3781,154.3,0,4,27/08/2022,2022-08-28
